x y
792.8710516063153 195.3894292508435
806.1455090821382 198.23241735573131
801.5285876732773 183.37767832320483
1514.208252487189 596.2405026536633
1002.297318132905 1488.332387889369
1505.1557892501794 600.9167120346405
1010.9301589148434 1499.4006390993145
804.2767171342747 210.145634320749
804.0584051547518 199.2806646804083
1005.6342835245264 1509.4267430927387
1009.231599873796 1516.4905164304062
1507.4259596265395 601.9448624330988
1017.022170271053 1482.2837118874595
1510.508724987528 595.2466194872918
1502.4536706972287 623.0209585514505
798.5682784120454 208.5177236450352
987.2678241672727 1504.9164914627258
1482.159810631258 588.3384638178286
1009.1925375281512 1483.735647080136
807.1010291628361 215.30813618035057
814.8664431372724 208.47894366216724
793.3159276506368 184.042071724561
1505.5795942905604 606.2499651789108
1497.8738403570635 602.028077802365
801.6364732102032 202.58543815718025
1001.5440902610524 1504.7820507995364
995.76301808671 1507.4734159140723
1508.2065849560386 586.3868110172945
1010.9888602833964 1490.6751143956617
1517.094553032371 581.5081236344511
